Index,Market Cap
MMM,60378529535.97901
AOS,5248607610.84812
ABT,153477746095.1007
ABBV,132766918718.4822
ACN,124961114146.5795
ADBE,180924630493.8009
AMD,106209385283.8952
AES,10450585020.2785
AFL,19635824752.58179
A,25594088395.16571
APD,51160151485.33138
AKAM,15359954537.28231
ALB,9886347907.595598
ARE,23683994865.76616
ALGN,22815081952.54591
ALLE,8792874333.08963
LNT,11549379325.62291
ALL,23524449544.14068
GOOGL,429630598684.73
GOOG,405550415682.7266
MO,48221313839.63641
AMZN,1407735363738.949
AMCR,12199474928.84455
AEE,18150702781.63039
AEP,38984130950.51358
AXP,69011320801.62227
AIG,18886693457.85804
AMT,99667934393.33966
AWK,24700070945.18834
AMP,13598579722.27682
AME,21546862822.18986
AMGN,108274071588.7525
APH,29822616794.23145
ADI,53675176876.61196
ANSS,25643996373.38535
AON,41487104869.21046
APA,4954032889.336203
APO,22513791590.11399
AAPL,1394852460108.088
AMAT,48305669941.83171
APTV,20144834125.32097
ACGL,11759691635.85959
ADM,18280874855.53489
ANET,17670768820.37937
AJG,23835084405.50291
AIZ,5546258321.285948
T,119560109486.227
ATO,14377532722.36525
ADSK,47532060828.61996
ADP,56305800457.48804
AZO,18614329960.85661
AVB,20363308693.10166
AVY,9262441224.99154
AXON,6819968125.261206
BKR,14455705001.96502
BALL,21781684826.69109
BAC,179145874930.9102
BAX,39057247558.97727
BDX,65583096691.20731
BBY,16613734334.27784
TECH,9669561333.120207
BIIB,41582198358.43314
BLK,77344896335.32352
BX,34351654131.01383
BK,23869825900.22169
BA,148043870631.2416
BKNG,57170569520.5779
BWA,6329224318.842995
BSX,55175495750.09138
BMY,103960395262.6404
AVGO,134127686154.3046
BR,13793790067.62401
BRO,11870706075.08248
BLDR,2976143404.284725
BG,5912879033.414846
BXP,12378031507.79098
CHRW,8885699174.805595
CDNS,25789544459.18876
CZR,9646525089.515026
CPT,8688192519.962826
CPB,12561757458.18814
COF,26547390893.45264
CAH,10935365000.37919
KMX,13723646682.76028
CCL,24337381168.32701
CAT,61172753696.86878
CBOE,9596402413.636099
CBRE,15350729542.21822
CDW,15079947124.2695
CE,10114148865.09212
COR,17409608683.33764
CNC,31176111622.13739
CNP,11850961517.58771
CF,5117466032.867134
CRL,9669575586.739342
SCHW,66071210815.51591
CHTR,78946391880.6369
CVX,127394255122.133
CMG,28732715697.67624
CB,48671599752.91046
CHD,18804483484.13996
CI,48305824837.19451
CINF,11193449873.14861
CTAS,25932460704.05928
CSCO,148946093835.3084
C,84469217018.84184
CFG,10014286117.50128
CLX,21339806543.19764
CME,53103259756.23352
CMS,16017560746.60785
KO,187161131423.9494
CTSH,29468724260.78076
CL,55072741269.48916
CMCSA,143814684089.6103
CAG,13551148652.83815
COP,45469516047.00522
ED,23190605504.24414
STZ,30587552621.28613
COO,15862931663.94073
CPRT,23071478848.85808
GLW,21611160697.49954
CPAY,17726576921.23869
CTVA,19095620988.0341
CSGP,30481935101.55383
COST,135431301454.0189
CTRA,10411663529.82344
CRWD,25248909846.64728
CCI,56763017411.58496
CSX,45022180329.03902
CMI,22709950619.17643
CVS,69842437722.98419
DHR,116111752358.4236
DRI,9152423759.71802
DVA,7057432141.109676
DAY,12062328435.41724
DECK,5102681697.718535
DE,47836940773.78776
DELL,9314599837.126331
DAL,22245797284.24594
DVN,6586065272.430846
DXCM,33752644777.77254
FANG,10655286160.98475
DLR,39644564819.36565
DFS,13491789105.9703
DG,38617976604.66307
DLTR,19536844188.97592
D,55275359468.97868
DPZ,12037828981.96243
DOV,13683732667.95794
DOW,24621691041.57407
DHI,18586314076.60732
DTE,17484233620.60081
DUK,56575986461.38098
DD,20551335605.94833
EMN,7351582024.906188
ETN,35016224733.65604
EBAY,20315326074.47257
ECL,53259282311.90801
EIX,18979079050.4925
EW,44881682459.95887
EA,31128882910.56728
ELV,61194683788.38097
EMR,33539473241.21286
ENPH,9455745927.527458
ETR,17068560570.8981
EOG,22546387467.89861
EPAM,15170308177.69693
EQT,6994134498.365311
EFX,18773243627.11268
EQIX,61803832489.56985
EQR,19974876092.10059
ERIE,8221769304.623826
ESS,13319490629.8708
EL,45236048910.45773
EG,8648879787.509851
EVRG,11298838706.51977
ES,26955288694.55426
EXC,24397099177.01395
EXPE,11408560491.48673
EXPD,10655049453.77044
EXR,18623123119.44364
XOM,157544378651.5921
FFIV,7886440209.931509
FDS,11302480182.29147
FICO,9916150033.203438
FAST,21141867822.21738
FRT,6261690231.407777
FDX,41485766929.12903
FIS,68314021435.53729
FITB,12445171141.75134
FSLR,6580336826.954996
FE,17723509620.54445
FI,59618520139.66251
FMC,11217126196.99102
F,22347337526.04504
FTNT,18715387969.2243
FTV,20326256562.87906
FOXA,5847875219.639322
FOX,6231420761.771923
BEN,9026933090.189514
FCX,18702045572.90512
GRMN,16725126194.06539
IT,10108028432.48578
GE,43210126759.24921
GEN,11148912897.30193
GNRC,8766699932.037458
GD,36433708818.09811
GIS,28004183370.10865
GM,29519815698.20851
GPC,11041225772.32229
GILD,71012222370.72269
GPN,43585215171.7269
GL,6841960332.430996
GDDY,10250328883.62546
GS,57417917916.68027
HAL,11952266285.43766
HIG,11236051515.45307
HAS,9520723714.226921
HCA,30711956808.60386
DOC,16059065699.95468
HSIC,7701378437.786793
HSY,19152141208.53925
HES,13945430731.93299
HPE,12206650361.99752
HLT,21103444668.26522
HOLX,12954591236.98001
HD,221611496216.7471
HON,97269090751.87221
HRL,23321568674.37629
HST,7705851884.929376
